Quarter,Region,State,Business,Holiday,Holiday2,Holiday3,Tendencia,SerieSinTendencia,SerieSinTendencia2,Mes,Estacionalidad,Residualidad,,,
1998 Q1,Lakes,Victoria,9.7822179,161.1803638,0,40.8733098,,,,#VALUE!,,,,,
1998 Q2,Lakes,Victoria,42.5966141,183.8701881,0,19.4783717,,,,,,,,,
1998 Q3,Lakes,Victoria,28.5876848,100.4861208,14.2150008,54.7092415,,,,,,,,Trim1,1
1998 Q4,Lakes,Victoria,26.9473938,79.8797421,1.9373184,33.3556601,,,,,,,,Trim2,4
1999 Q1,Lakes,Victoria,2.9184524,118.2478227,3.9458862,27.3383972,,,,,,,,Trim3,7
1999 Q2,Lakes,Victoria,20.2426382,90.607858,5.4406007,18.4732723,,,,,,,,Trim4,10
1999 Q3,Lakes,Victoria,4.3241904,63.8069047,0,29.9819507,,,,,,,,,
1999 Q4,Lakes,Victoria,1.9056419,103.67991,0,54.5434907,112.31941,-8.639500027,,,,,,,
2000 Q1,Lakes,Victoria,6.8633683,169.7725677,13.7194626,47.1180224,108.3112464,61.46132125,,,,,,,
2000 Q2,Lakes,Victoria,2.0286119,97.2880117,10.0657989,51.7576723,107.9929946,-10.70498294,,,,,,,
2000 Q3,Lakes,Victoria,12.5882274,60.0442553,3.70729,42.7315286,108.4160031,-48.37174781,,,,,,,
2000 Q4,Lakes,Victoria,9.2582932,108.2160931,4.437509,44.525215,107.5800668,0.63602632,,,,,,,
2001 Q1,Lakes,Victoria,7.1741361,175.5322185,4.3328776,61.5757777,106.6924601,68.83975839,,,,,,,
2001 Q2,Lakes,Victoria,15.6960386,119.6513084,0,33.8876755,111.0176247,8.63368374,,,,,,,
2001 Q3,Lakes,Victoria,40.6808245,52.5277855,0,34.1320478,114.6294912,-62.10170572,,,,,,,
2001 Q4,Lakes,Victoria,12.0845217,101.0579101,3.4323727,24.9845658,113.1689955,-12.11108544,,,,,,,
2002 Q1,Lakes,Victoria,8.332412,179.096411,6.1113623,43.7724668,106.0321536,73.06425743,,,,,,,
2002 Q2,Lakes,Victoria,16.7061377,106.8312479,0,30.462279,112.9695507,-6.138302807,,,,,,,
2002 Q3,Lakes,Victoria,1.8933202,67.3406971,3.7440958,27.0425189,117.6231514,-50.28245434,,,,,,,
2002 Q4,Lakes,Victoria,9.9980652,104.9337226,0,54.8019105,114.0502761,-9.11655348,,,,,,,
2003 Q1,Lakes,Victoria,11.29656,155.4853263,6.0642299,50.0272495,108.3373326,47.1479937,,,,,,,
2003 Q2,Lakes,Victoria,7.702987,117.9849031,0,64.7301849,109.7418424,8.24306066,,,,,,,
2003 Q3,Lakes,Victoria,4.2786025,81.7724748,0,26.7027456,111.34583,-29.57335523,,,,,,,
2003 Q4,Lakes,Victoria,20.8847708,62.7199382,4.1289682,46.4088289,109.5366874,-46.81674919,,,,,,,
2004 Q1,Lakes,Victoria,13.6310729,201.3489687,7.9487711,71.0654321,102.2835309,99.06543779,,,,,,,
2004 Q2,Lakes,Victoria,20.945672,129.8482663,3.6207115,22.4066415,104.2858442,25.56242212,,,,,,,
2004 Q3,Lakes,Victoria,37.7221859,54.6229627,1.3140945,16.2298312,106.2499847,-51.62702201,,,,,,,
2004 Q4,Lakes,Victoria,9.7190778,89.8380663,0,39.2345852,104.0253461,-14.18727983,,,,,,,
2005 Q1,Lakes,Victoria,0,140.718956,0,42.6779793,98.04467165,42.67428435,,,,,,,
2005 Q2,Lakes,Victoria,23.0804019,76.5875993,5.3188745,18.7613789,100.4379547,-23.85035536,,,,,,,
2005 Q3,Lakes,Victoria,3.8287794,73.9207706,7.6446769,36.7115317,104.7464604,-30.8256898,,,,,,,
2005 Q4,Lakes,Victoria,13.8273268,70.2990637,6.0092929,29.6428019,103.5169576,-33.21789394,,,,,,,
2006 Q1,Lakes,Victoria,3.623524,136.865947,9.636999,41.693843,93.92431942,42.94162758,,,,,,,
