Quarter,Region,State,Purpose,Trips
1998 Q1,Lakes,Victoria,Business,9.7822179
1998 Q2,Lakes,Victoria,Business,42.5966141
1998 Q3,Lakes,Victoria,Business,28.5876848
1998 Q4,Lakes,Victoria,Business,26.9473938
1999 Q1,Lakes,Victoria,Business,2.9184524
1999 Q2,Lakes,Victoria,Business,20.2426382
1999 Q3,Lakes,Victoria,Business,4.3241904
1999 Q4,Lakes,Victoria,Business,1.9056419
2000 Q1,Lakes,Victoria,Business,6.8633683
2000 Q2,Lakes,Victoria,Business,2.0286119
2000 Q3,Lakes,Victoria,Business,12.5882274
2000 Q4,Lakes,Victoria,Business,9.2582932
2001 Q1,Lakes,Victoria,Business,7.1741361
2001 Q2,Lakes,Victoria,Business,15.6960386
2001 Q3,Lakes,Victoria,Business,40.6808245
2001 Q4,Lakes,Victoria,Business,12.0845217
2002 Q1,Lakes,Victoria,Business,8.332412
2002 Q2,Lakes,Victoria,Business,16.7061377
2002 Q3,Lakes,Victoria,Business,1.8933202
2002 Q4,Lakes,Victoria,Business,9.9980652
2003 Q1,Lakes,Victoria,Business,11.29656
2003 Q2,Lakes,Victoria,Business,7.702987
2003 Q3,Lakes,Victoria,Business,4.2786025
2003 Q4,Lakes,Victoria,Business,20.8847708
2004 Q1,Lakes,Victoria,Business,13.6310729
2004 Q2,Lakes,Victoria,Business,20.945672
2004 Q3,Lakes,Victoria,Business,37.7221859
2004 Q4,Lakes,Victoria,Business,9.7190778
2005 Q1,Lakes,Victoria,Business,0
2005 Q2,Lakes,Victoria,Business,23.0804019
2005 Q3,Lakes,Victoria,Business,3.8287794
2005 Q4,Lakes,Victoria,Business,13.8273268
2006 Q1,Lakes,Victoria,Business,3.623524
2006 Q2,Lakes,Victoria,Business,13.167806
2006 Q3,Lakes,Victoria,Business,20.079987
2006 Q4,Lakes,Victoria,Business,17.615025
2007 Q1,Lakes,Victoria,Business,7.969175
2007 Q2,Lakes,Victoria,Business,2.5520125
2007 Q3,Lakes,Victoria,Business,15.6645741
2007 Q4,Lakes,Victoria,Business,11.6664011
2008 Q1,Lakes,Victoria,Business,1.855788
2008 Q2,Lakes,Victoria,Business,3.2157404
2008 Q3,Lakes,Victoria,Business,24.8308739
2008 Q4,Lakes,Victoria,Business,14.7821534
2009 Q1,Lakes,Victoria,Business,3.7653153
2009 Q2,Lakes,Victoria,Business,7.2239357
2009 Q3,Lakes,Victoria,Business,0.7599032
2009 Q4,Lakes,Victoria,Business,14.5899228
2010 Q1,Lakes,Victoria,Business,20.7511402
2010 Q2,Lakes,Victoria,Business,23.573669
2010 Q3,Lakes,Victoria,Business,9.8709301
2010 Q4,Lakes,Victoria,Business,13.586348
2011 Q1,Lakes,Victoria,Business,5.1801085
2011 Q2,Lakes,Victoria,Business,5.2699872
2011 Q3,Lakes,Victoria,Business,9.4570243
2011 Q4,Lakes,Victoria,Business,7.1085134
2012 Q1,Lakes,Victoria,Business,17.5323052
2012 Q2,Lakes,Victoria,Business,9.7347641
2012 Q3,Lakes,Victoria,Business,17.0386624
2012 Q4,Lakes,Victoria,Business,14.3948403
2013 Q1,Lakes,Victoria,Business,12.2039214
2013 Q2,Lakes,Victoria,Business,7.4448377
2013 Q3,Lakes,Victoria,Business,13.0992358
2013 Q4,Lakes,Victoria,Business,15.7799838
2014 Q1,Lakes,Victoria,Business,10.8604164
2014 Q2,Lakes,Victoria,Business,20.6938635
2014 Q3,Lakes,Victoria,Business,10.5485088
2014 Q4,Lakes,Victoria,Business,16.3422113
2015 Q1,Lakes,Victoria,Business,2.6715154
2015 Q2,Lakes,Victoria,Business,21.8765657
2015 Q3,Lakes,Victoria,Business,24.9450725
2015 Q4,Lakes,Victoria,Business,10.1436352
2016 Q1,Lakes,Victoria,Business,19.686171
2016 Q2,Lakes,Victoria,Business,12.54526
2016 Q3,Lakes,Victoria,Business,15.1515514
2016 Q4,Lakes,Victoria,Business,16.3815646
2017 Q1,Lakes,Victoria,Business,19.7766611
2017 Q2,Lakes,Victoria,Business,11.3158779
2017 Q3,Lakes,Victoria,Business,20.6978502
2017 Q4,Lakes,Victoria,Business,8.5912786
1998 Q1,Lakes,Victoria,Holiday,161.1803638
1998 Q2,Lakes,Victoria,Holiday,183.8701881
1998 Q3,Lakes,Victoria,Holiday,100.4861208
1998 Q4,Lakes,Victoria,Holiday,79.8797421
1999 Q1,Lakes,Victoria,Holiday,118.2478227
1999 Q2,Lakes,Victoria,Holiday,90.607858
1999 Q3,Lakes,Victoria,Holiday,63.8069047
1999 Q4,Lakes,Victoria,Holiday,103.67991
2000 Q1,Lakes,Victoria,Holiday,169.7725677
2000 Q2,Lakes,Victoria,Holiday,97.2880117
2000 Q3,Lakes,Victoria,Holiday,60.0442553
2000 Q4,Lakes,Victoria,Holiday,108.2160931
2001 Q1,Lakes,Victoria,Holiday,175.5322185
2001 Q2,Lakes,Victoria,Holiday,119.6513084
2001 Q3,Lakes,Victoria,Holiday,52.5277855
2001 Q4,Lakes,Victoria,Holiday,101.0579101
2002 Q1,Lakes,Victoria,Holiday,179.096411
2002 Q2,Lakes,Victoria,Holiday,106.8312479
2002 Q3,Lakes,Victoria,Holiday,67.3406971
2002 Q4,Lakes,Victoria,Holiday,104.9337226
2003 Q1,Lakes,Victoria,Holiday,155.4853263
2003 Q2,Lakes,Victoria,Holiday,117.9849031
2003 Q3,Lakes,Victoria,Holiday,81.7724748
2003 Q4,Lakes,Victoria,Holiday,62.7199382
2004 Q1,Lakes,Victoria,Holiday,201.3489687
2004 Q2,Lakes,Victoria,Holiday,129.8482663
2004 Q3,Lakes,Victoria,Holiday,54.6229627
2004 Q4,Lakes,Victoria,Holiday,89.8380663
2005 Q1,Lakes,Victoria,Holiday,140.718956
2005 Q2,Lakes,Victoria,Holiday,76.5875993
2005 Q3,Lakes,Victoria,Holiday,73.9207706
2005 Q4,Lakes,Victoria,Holiday,70.2990637
2006 Q1,Lakes,Victoria,Holiday,136.865947
2006 Q2,Lakes,Victoria,Holiday,96.802805
2006 Q3,Lakes,Victoria,Holiday,71.564144
2006 Q4,Lakes,Victoria,Holiday,65.775209
2007 Q1,Lakes,Victoria,Holiday,153.8841483
2007 Q2,Lakes,Victoria,Holiday,146.4000609
2007 Q3,Lakes,Victoria,Holiday,44.2773968
2007 Q4,Lakes,Victoria,Holiday,57.4593954
2008 Q1,Lakes,Victoria,Holiday,183.9275134
2008 Q2,Lakes,Victoria,Holiday,94.6912157
2008 Q3,Lakes,Victoria,Holiday,67.5721262
2008 Q4,Lakes,Victoria,Holiday,87.0713306
2009 Q1,Lakes,Victoria,Holiday,134.4056883
2009 Q2,Lakes,Victoria,Holiday,99.2384351
2009 Q3,Lakes,Victoria,Holiday,63.2711374
2009 Q4,Lakes,Victoria,Holiday,100.743042
2010 Q1,Lakes,Victoria,Holiday,145.7412031
2010 Q2,Lakes,Victoria,Holiday,111.2728708
2010 Q3,Lakes,Victoria,Holiday,68.1782419
2010 Q4,Lakes,Victoria,Holiday,110.0040394
2011 Q1,Lakes,Victoria,Holiday,188.3144737
2011 Q2,Lakes,Victoria,Holiday,102.2419319
2011 Q3,Lakes,Victoria,Holiday,52.5081609
2011 Q4,Lakes,Victoria,Holiday,105.5413468
